from	to	fre
COL2A1	GO:0005583	1.9857048926389
COL3A1	GO:0005583	1.9857048926389
COL1A2	GO:0098643	1.9857048926389
COL2A1	GO:0098643	1.9857048926389
COL3A1	GO:0098643	1.9857048926389
COL14A1	GO:0030020	3.69971971160636
COL17A1	GO:0030020	3.69971971160636
COL1A2	GO:0030020	3.69971971160636
COL21A1	GO:0030020	3.69971971160636
COL2A1	GO:0030020	3.69971971160636
COL3A1	GO:0030020	3.69971971160636
COL7A1	GO:0030020	3.69971971160636
ABI3BP	GO:0005201	3.08937574089876
COL14A1	GO:0005201	3.08937574089876
COL17A1	GO:0005201	3.08937574089876
COL1A2	GO:0005201	3.08937574089876
COL21A1	GO:0005201	3.08937574089876
COL22A1	GO:0005201	3.08937574089876
COL2A1	GO:0005201	3.08937574089876
COL3A1	GO:0005201	3.08937574089876
COL7A1	GO:0005201	3.08937574089876
ELN	GO:0005201	3.08937574089876
SRPX	GO:0005201	3.08937574089876
CARD16	GO:0002020	1.69441166134635
CD177	GO:0002020	1.69441166134635
COL1A2	GO:0002020	1.69441166134635
COL3A1	GO:0002020	1.69441166134635
DPP4	GO:0002020	1.69441166134635
FLOT2	GO:0002020	1.69441166134635
PZP	GO:0002020	1.69441166134635
SERPINE1	GO:0002020	1.69441166134635
COL1A2	GO:0048407	1.56220466244711
COL2A1	GO:0048407	1.56220466244711
COL3A1	GO:0048407	1.56220466244711
COL14A1	hsa04974	5.14418914820095
COL17A1	hsa04974	5.14418914820095
COL1A2	hsa04974	5.14418914820095
COL21A1	hsa04974	5.14418914820095
COL22A1	hsa04974	5.14418914820095
COL2A1	hsa04974	5.14418914820095
COL3A1	hsa04974	5.14418914820095
ELN	hsa04974	5.14418914820095
SLC16A10	hsa04974	5.14418914820095
COL7A1	hsa04974	5.14418914820095
DPP4	hsa04974	5.14418914820095
