V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25
7.0385	0.07968	5.76014	64.83404	0.24014	0.34576	0.16344	3.84052	0.2206	0.92802	0.1684	0.25206	11.92196	0.05438	1.954	2.40792	403.71066	211.4	0.20178	0.1941	389132.8313	3.31556	0.19806	25.8	0
7.41168	0.04082	1.83854	37.74832	0.15044	0.20814	0.0915	1.15	0.3374	0.94444	0.3324	0.11086	5.10184	0.062	1.11348	1.81898	1445.206	167.6	0.33716	0.09698	14931450	1.61892	0.27208	6.6	1
7.63945	0.057625	5.12	115.1649	0.193575	0.32035	0.156425	2.98885	0.191725	0.94105	0.1507	0.256225	14.7947	0.04595	2.328325	2.5717	523.0707	233.75	0.1988	0.191375	733760.8	3.082475	0.194875	29	1
6.93058	0.0722	3.67554	54.58426	0.22382	0.32578	0.14924	2.49506	0.2603	0.92188	0.27008	0.21986	7.28586	0.07768	1.45466	2.159	344.37476	188.4	0.27586	0.17366	710908.3345	2.49566	0.23072	14.6	1
7.47674	0.05896	3.99218	93.8003	0.2014	0.26254	0.12066	3.03186	0.25152	0.97272	0.2045	0.14692	9.87568	0.0451	2.7237	2.34038	1190.78	197.8	0.199	0.1247	5462378	2.7468	0.18296	3	0
6.7448	0.082	6.489	29.1018	0.2435	0.38795	0.19175	4.3148	0.18445	0.9441	0.19565	0.28415	12.1099	0.0619	2.70045	2.59045	285.1727	191.5	0.17855	0.21475	94845.1784	3.24305	0.17305	16	1
6.8863	0.08578	5.78374	70.73308	0.24642	0.33596	0.15426	4.00758	0.22162	0.94862	0.20946	0.22042	11.34438	0.06594	2.27204	2.43602	514.9117	210.8	0.23224	0.17488	564279.5965	3.79838	0.17688	23.4	0
7.33864	0.06492	4.23534	94.94294	0.20742	0.31512	0.15204	2.69856	0.20124	0.94646	0.22128	0.24532	11.66808	0.06786	2.3325	2.50658	437.06268	225.6	0.27908	0.18508	715903.2359	2.97056	0.19072	21.2	1
7.46196	0.06102	5.76044	69.64306	0.20146	0.34014	0.15966	3.40968	0.26886	0.9702	0.21768	0.18306	10.051	0.0543	3.29484	2.3224	664.2771	208.2	0.18586	0.15332	2402864	3.42484	0.16406	2	1
7.60694	0.03508	3.4085	18.84056	0.14018	0.25026	0.11906	1.79648	0.20318	0.96272	0.2358	0.18498	10.88376	0.0496	2.53428	2.47242	732.4587	199.2	0.24704	0.15012	1299466	3.03044	0.1883	13.2	1
7.246417	0.04938333	4.088333	25.74567	0.17485	0.2886167	0.1324667	2.34575	0.2559833	0.9573167	0.2343667	0.1691167	8.2777	0.05193333	2.08725	2.238783	669.6297	202.1667	0.21065	0.1410333	1551646	2.696817	0.19995	5.166667	1
7.26154	0.06316	4.18066	63.5227	0.20196	0.28994	0.1398	2.83558	0.19804	0.96416	0.21168	0.19752	10.92176	0.05386	2.79982	2.51094	542.3553	197	0.22284	0.1585	1029192	2.89536	0.17996	5.6	0
7.64866	0.04112	3.02946	33.69864	0.15332	0.21358	0.1034	1.99008	0.21432	0.9738	0.2558	0.15012	10.48138	0.05088	2.9551	2.47216	1047.78	202.6	0.28584	0.12612	3565389	3.36886	0.17616	9.8	1
7.71776	0.05296	5.6578	83.26322	0.1811	0.32152	0.15748	2.95074	0.17882	0.94652	0.14142	0.26078	15.91068	0.0427	2.51288	2.65178	554.99404	230.8	0.18544	0.1939	458823.6965	3.20166	0.18206	29.6	1
7.44	0.030375	2.992675	11.16455	0.1172	0.229775	0.1125	1.4485	0.24685	0.9598	0.258275	0.165325	8.952775	0.048375	2.248275	2.30515	727.9862	199.5	0.250375	0.136025	1919199	2.833425	0.204425	9.75	0
7.36724	0.05134	2.84934	63.6249	0.17796	0.30696	0.13922	1.5896	0.34376	0.92518	0.35322	0.17632	4.77634	0.08444	1.2326	1.84264	371.7917	196.2	0.30408	0.14892	2863493	2.07804	0.25462	3.2	1
7.3404	0.0366	2.64068	14.58654	0.14052	0.20636	0.09822	1.63208	0.26758	0.97254	0.2545	0.12506	8.3024	0.04534	2.42398	2.25106	1311.566	181.8	0.25658	0.1082	4360096	2.70092	0.19316	5.6	1
7.4495	0.04762	8.53682	23.46002	0.16584	0.29534	0.14656	4.1262	0.165	0.95732	0.06976	0.24744	29.00878	0.02148	2.96076	2.78784	1166.71502	240	0.10392	0.18476	243309.2358	4.1309	0.16042	61.2	1
7.16894	0.06448	3.369	75.1187	0.2078	0.27454	0.1241	2.3374	0.25482	0.94096	0.22806	0.18668	9.24978	0.06246	1.60318	2.23368	752.8641	198.6	0.28714	0.14964	2267694	2.4688	0.21532	23	1
6.88416	0.07314	3.13696	74.09794	0.22782	0.2682	0.1188	2.38674	0.3181	0.96418	0.29362	0.13178	6.65722	0.07024	1.97448	2.02222	1078.001	181.4	0.29072	0.11348	5159228	2.35582	0.20454	5	0
6.8374	0.0792	5.6479	38.96493	0.2405	0.3414	0.1591	3.695533	0.2155333	0.9433333	0.1887	0.2198667	10.57073	0.0569	2.089167	2.416867	476.2781	215.6667	0.1967333	0.1750667	412651.5	3.283233	0.1867667	18.33333	0
6.78374	0.0848	5.33292	54.25688	0.2501	0.32572	0.14856	3.61568	0.2145	0.94386	0.1806	0.21274	11.11612	0.05298	1.94224	2.41666	549.13672	200.6	0.1917	0.16824	575014.4241	3.00544	0.19084	22.4	0
6.4215	0.08834	3.37236	41.75034	0.24978	0.31034	0.13762	2.8056	0.3297	0.95066	0.2878	0.14128	5.4946	0.07676	1.51434	1.9314	661.6811	163	0.24618	0.12202	1755844	2.1799	0.22064	3	0
7.5085	0.038625	3.421225	22.95547	0.146825	0.250475	0.116675	1.713475	0.2744	0.972175	0.24235	0.137225	7.948525	0.048525	2.4992	2.23225	1048.391	193.25	0.238925	0.11825	4124332	2.953275	0.1833	3.75	1
7.559075	0.0334	3.8195	14.76905	0.13395	0.25735	0.121975	1.776	0.29415	0.973925	0.2368	0.13805	8.371125	0.045675	2.8062	2.19435	1014.065	186	0.21805	0.11865	3959748	3.060425	0.176425	3	0
7.440575	0.054975	4.141075	81.98945	0.1838	0.303225	0.14475	2.122225	0.265475	0.944775	0.30385	0.21535	8.706125	0.074675	2.11185	2.2448	401.2086	229.25	0.29045	0.16935	1940865	2.866575	0.21635	12.25	1
7.47186	0.0617	4.49516	100.2537	0.2045	0.29472	0.14022	2.87958	0.19476	0.95762	0.22242	0.22808	12.80214	0.06384	2.80808	2.58444	540.9535	219.6	0.27484	0.17512	1086355	3.42544	0.17456	21.8	1
7.54642	0.03812	2.7592	25.69278	0.14244	0.22452	0.10406	1.65662	0.36236	0.97086	0.29708	0.11062	5.88898	0.0522	1.94916	1.92994	1339.846	195.8	0.25998	0.09772	10707850	2.64402	0.2001	2.4	0
7.44896	0.04126	2.56336	26.32604	0.15336	0.20982	0.09698	1.63642	0.23894	0.96716	0.31142	0.1515	9.26484	0.06182	2.48794	2.33642	892.1821	198.8	0.34066	0.12662	3258889	3.1048	0.20186	15.2	1
6.9643	0.07978	6.58156	49.65134	0.2398	0.33082	0.15234	4.49614	0.1944	0.9439	0.13504	0.22924	13.93284	0.04094	2.15104	2.52476	576.00664	209	0.1591	0.18166	389808.1218	3.38362	0.183	27.8	0
7.24502	0.06154	3.46218	65.94554	0.20764	0.26304	0.1213	2.53874	0.2343	0.96842	0.29534	0.17596	10.03874	0.0735	3.00318	2.41152	729.4534	214.6	0.32688	0.14362	1630797	3.25056	0.1942	12.6	0
7.7451	0.0477	4.7285	78.6911	0.1612	0.3285	0.1603	1.9555	0.2179	0.9441	0.254	0.256	9.8937	0.0726	2.3692	2.4504	375.6179	238	0.295	0.1932	860621.9352	3.3726	0.1971	16	1
7.59075	0.034775	3.09905	21.75082	0.13575	0.249875	0.1133	1.3601	0.315525	0.964575	0.32485	0.153175	6.796275	0.05575	2.2162	2.07605	579.796	197	0.24275	0.1294	3822691	2.7513	0.204025	6.75	1
7.78702	0.04274	3.54452	55.65908	0.15762	0.2412	0.1132	1.7795	0.20348	0.96722	0.23148	0.16996	10.81206	0.0525	2.63732	2.5175	898.2151	215.2	0.30214	0.13976	2750961	3.17148	0.18088	14.8	0
7.513175	0.05245	7.366425	33.5554	0.1801	0.271225	0.132725	4.589925	0.16175	0.9634	0.07345	0.2225	27.32238	0.021625	3.0704	2.7815	1260.248	236	0.112725	0.1714	456601.3	4.141225	0.15685	50.75	0
7.32318	0.06352	5.05684	65.86766	0.2086	0.3196	0.15252	3.10092	0.1856	0.95488	0.20796	0.24298	12.98926	0.0607	2.7625	2.6023	498.88146	232.2	0.25336	0.185	518244.5808	3.25218	0.17372	20.2	0
7.2708	0.048	3.60765	29.7934	0.169075	0.26655	0.124575	1.91195	0.291825	0.96735	0.325175	0.17055	7.813125	0.06385	2.647425	2.1953	562.6516	224.5	0.247325	0.140925	2506690	2.740625	0.194275	7.75	0
7.32476	0.03374	2.71952	12.83872	0.13302	0.21788	0.1048	1.52072	0.26942	0.96922	0.22366	0.12632	7.48502	0.039	2.10392	2.19272	1025.128	178.8	0.21742	0.10976	3730733	2.28552	0.20706	1.4	0
7.5748	0.05305	5.52045	43.80775	0.180975	0.270625	0.12835	3.2778	0.1637	0.9718	0.15795	0.193425	16.25382	0.038675	3.720975	2.758725	893.8455	235.25	0.181275	0.15515	989066.4	4.037425	0.15485	15.5	0
7.13084	0.05146	2.54734	28.01474	0.18062	0.22742	0.10486	1.92654	0.24794	0.96254	0.28888	0.14686	7.89426	0.06098	2.05946	2.24422	764.5062	172.2	0.31574	0.12422	1970772	2.65676	0.20362	8.4	0
7.6092	0.04066	2.9314	44.72724	0.14956	0.2447	0.11076	1.57188	0.40646	0.97052	0.29754	0.1069	5.52412	0.05426	1.87138	1.8106	1417.838	192.6	0.24206	0.0953	19300580	2.37078	0.20022	3	1
7.329	0.04255	4.07555	17.2919	0.15995	0.26115	0.1217	2.71825	0.3474	0.9772	0.21125	0.1149	7.39015	0.03985	2.56005	2.03825	1297.524	188	0.18375	0.10215	5479170	3.0238	0.1755	0	0
7.32286	0.0653	4.08616	110.7726	0.20858	0.29392	0.13812	2.67806	0.22782	0.96456	0.25444	0.19302	10.20658	0.06932	2.80928	2.43446	657.8479	217.2	0.28948	0.15494	2072048	3.23944	0.19	8.4	0
7.56058	0.04724	4.43248	37.28886	0.1721	0.25744	0.12042	2.58482	0.20002	0.97072	0.21202	0.17292	11.27004	0.04464	3.02116	2.55646	722.927	233.4	0.21716	0.14274	1629737	3.55422	0.16694	10.4	0
7.6978	0.0422	3.755233	34.80743	0.1557	0.2329	0.1091	2.162033	0.2206667	0.9777	0.2171333	0.1397	10.68623	0.04246667	3.146633	2.445067	1230.777	204	0.2269333	0.1192333	4683704	3.126	0.1671333	6	0
6.791375	0.082125	4.6271	62.21175	0.2404	0.33225	0.15455	2.957825	0.249225	0.9284	0.21205	0.234925	10.20115	0.070625	1.682675	2.2732	413.1504	197.75	0.281775	0.181625	511711.8	2.9765	0.202875	25.5	0
6.9932	0.07515	4.0726	73.9239	0.231325	0.36465	0.17265	2.627925	0.278275	0.889775	0.27015	0.2644	7.355375	0.087125	1.279275	2.094	229.4074	199.25	0.293825	0.208075	624181.7	2.555275	0.23615	17.75	1
7.098225	0.066375	6.7823	35.7073	0.207925	0.3914	0.197325	3.4791	0.216475	0.9106	0.150425	0.311725	12.9253	0.0534	1.89475	2.419325	295.5424	195	0.18055	0.228575	147518.7	3.1784	0.19515	31	1
6.8979	0.06506	4.1758	31.26458	0.20598	0.34064	0.16198	2.58642	0.25156	0.92254	0.26672	0.23614	7.70334	0.0771	1.65714	2.21094	320.4325	177.8	0.25036	0.18316	407709.843	2.65468	0.2105	13.2	0
6.745075	0.082225	5.22865	46.41967	0.24065	0.3322	0.156975	3.612825	0.218225	0.926825	0.169325	0.244175	12.31558	0.05255	1.720575	2.3631	436.206	199	0.1822	0.185325	342826.5	2.79455	0.20305	28.5	0
