		sim
164	original_firstorder_90Percentile	original_gldm_GrayLevelVariance	0.211382113821138
165	original_firstorder_90Percentile	original_gldm_HighGrayLevelEmphasis	0.539772727272727
166	original_firstorder_90Percentile	original_gldm_LargeDependenceEmphasis	0.244318181818182
167	original_firstorder_90Percentile	original_gldm_LargeDependenceHighGrayLevelEmphasis	0.204545454545455
168	original_firstorder_90Percentile	original_gldm_LargeDependenceLowGrayLevelEmphasis	0.22093023255814
169	original_firstorder_90Percentile	original_gldm_LowGrayLevelEmphasis	0.25
170	original_firstorder_90Percentile	original_gldm_SmallDependenceEmphasis	0.227272727272727
171	original_firstorder_90Percentile	original_gldm_SmallDependenceHighGrayLevelEmphasis	0.10752688172043
172	original_firstorder_90Percentile	original_gldm_SmallDependenceLowGrayLevelEmphasis	0.227272727272727
173	original_firstorder_Energy	original_firstorder_10Percentile	0.75
174	original_firstorder_Energy	original_firstorder_90Percentile	0.431818181818182
175	original_firstorder_Energy	original_firstorder_Energy	1
176	original_firstorder_Energy	original_firstorder_Entropy	0.41025641025641
177	original_firstorder_Energy	original_firstorder_InterquartileRange	0.474576271186441
178	original_firstorder_Energy	original_firstorder_Kurtosis	0.563492063492063
179	original_firstorder_Energy	original_firstorder_Maximum	0.518828451882845
180	original_firstorder_Energy	original_firstorder_MeanAbsoluteDeviation	0.462395543175487
181	original_firstorder_Energy	original_firstorder_Mean	0.384615384615385
182	original_firstorder_Energy	original_firstorder_Median	0.627906976744186
183	original_firstorder_Energy	original_firstorder_Minimum	0.208053691275168
184	original_firstorder_Energy	original_firstorder_Range	0.623711340206186
185	original_firstorder_Energy	original_firstorder_RobustMeanAbsoluteDeviation	0.595744680851064
186	original_firstorder_Energy	original_firstorder_RootMeanSquared	0.513888888888889
187	original_firstorder_Energy	original_firstorder_Skewness	0.463519313304721
188	original_firstorder_Energy	original_firstorder_TotalEnergy	1
189	original_firstorder_Energy	original_firstorder_Uniformity	0.55
190	original_firstorder_Energy	original_firstorder_Variance	0.522388059701492
191	original_firstorder_Energy	original_glcm_Autocorrelation	0.531496062992126
192	original_firstorder_Energy	original_glcm_JointAverage	0.411483253588517
193	original_firstorder_Energy	original_glcm_ClusterProminence	0.560975609756098
194	original_firstorder_Energy	original_glcm_ClusterShade	0.5
195	original_firstorder_Energy	original_glcm_ClusterTendency	0.357142857142857
196	original_firstorder_Energy	original_glcm_Contrast	0.543689320388349
197	original_firstorder_Energy	original_glcm_Correlation	0.351351351351351
198	original_firstorder_Energy	original_glcm_DifferenceAverage	0.462962962962963
199	original_firstorder_Energy	original_glcm_DifferenceEntropy	0.441176470588235
200	original_firstorder_Energy	original_glcm_DifferenceVariance	0.4
201	original_firstorder_Energy	original_glcm_JointEnergy	0.493055555555556
202	original_firstorder_Energy	original_glcm_JointEntropy	0.521008403361345
203	original_firstorder_Energy	original_glcm_Imc1	0.560975609756098
204	original_firstorder_Energy	original_glcm_Imc2	0.5
205	original_firstorder_Energy	original_glcm_Idm	0.496774193548387
206	original_firstorder_Energy	original_glcm_Idmn	0.415094339622642
207	original_firstorder_Energy	original_glcm_Id	0.489177489177489
208	original_firstorder_Energy	original_glcm_Idn	0.5
209	original_firstorder_Energy	original_glcm_InverseVariance	0.460526315789474
210	original_firstorder_Energy	original_glcm_MaximumProbability	0.393939393939394
211	original_firstorder_Energy	original_glcm_SumEntropy	0.299212598425197
212	original_firstorder_Energy	original_glcm_SumSquares	0.579710144927536
213	original_firstorder_Energy	original_glrlm_GrayLevelNonUniformity	0.431818181818182
214	original_firstorder_Energy	original_glrlm_GrayLevelNonUniformityNormalized	0.331641285956007
215	original_firstorder_Energy	original_glrlm_GrayLevelVariance	0.4
216	original_firstorder_Energy	original_glrlm_HighGrayLevelRunEmphasis	0.356687898089172
217	original_firstorder_Energy	original_glrlm_LongRunEmphasis	0.383333333333333
218	original_firstorder_Energy	original_glrlm_LongRunHighGrayLevelEmphasis	0.53448275862069
219	original_firstorder_Energy	original_glrlm_LongRunLowGrayLevelEmphasis	0.51394422310757
220	original_firstorder_Energy	original_glrlm_LowGrayLevelRunEmphasis	0.389261744966443
221	original_firstorder_Energy	original_glrlm_RunEntropy	0.475479744136461
222	original_firstorder_Energy	original_glrlm_RunLengthNonUniformity	0.25
223	original_firstorder_Energy	original_glrlm_RunLengthNonUniformityNormalized	0.422535211267606
224	original_firstorder_Energy	original_glrlm_RunPercentage	0.457142857142857
225	original_firstorder_Energy	original_glrlm_RunVariance	0.522727272727273
226	original_firstorder_Energy	original_glrlm_ShortRunEmphasis	0.408071748878924
227	original_firstorder_Energy	original_glrlm_ShortRunHighGrayLevelEmphasis	0.430875576036866
228	original_firstorder_Energy	original_glrlm_ShortRunLowGrayLevelEmphasis	0.363636363636364
229	original_firstorder_Energy	original_glszm_GrayLevelNonUniformity	0.49
230	original_firstorder_Energy	original_glszm_GrayLevelNonUniformityNormalized	0.444816053511706
231	original_firstorder_Energy	original_glszm_GrayLevelVariance	0.415458937198068
232	original_firstorder_Energy	original_glszm_HighGrayLevelZoneEmphasis	0.37219730941704
233	original_firstorder_Energy	original_glszm_LargeAreaEmphasis	0.386363636363636
234	original_firstorder_Energy	original_glszm_LargeAreaHighGrayLevelEmphasis	0.50996015936255
235	original_firstorder_Energy	original_glszm_LargeAreaLowGrayLevelEmphasis	0.548387096774194
236	original_firstorder_Energy	original_glszm_LowGrayLevelZoneEmphasis	0.494652406417112
237	original_firstorder_Energy	original_glszm_SizeZoneNonUniformity	0.567307692307692
238	original_firstorder_Energy	original_glszm_SizeZoneNonUniformityNormalized	0.373626373626374
239	original_firstorder_Energy	original_glszm_SmallAreaEmphasis	0.335260115606936
240	original_firstorder_Energy	original_glszm_SmallAreaHighGrayLevelEmphasis	0.521276595744681
241	original_firstorder_Energy	original_glszm_SmallAreaLowGrayLevelEmphasis	0.487179487179487
242	original_firstorder_Energy	original_glszm_ZoneEntropy	0.413919413919414
